x,growth,qty_monop,differ,q_cournot_harvest,q_cournot_farmed,q_bertrand_harvest,q_bertrand_farmed,ss_monop,ss_cournot,ss_bertrand
1,0.20127274831899536,1.486403690320972e-4,0.20112410794996327,8.378443596712158e-5,503.21314641660433,3.963880115048453e-5,845.7364139195628,0.20112410794996327,0.20118896388302823,0.20123310951784487
2,0.4025255932759814,5.945609652672498e-4,0.40193103231071414,3.351375142217725e-4,503.2130333077191,1.5855516990794392e-4,845.7363239828134,0.40193103231071414,0.40219045576175966,0.4023670381060735
3,0.6037585348709582,0.0013377602561264307,0.6024207746148318,7.540585458253848e-4,503.2128447932549,3.567490021904716e-4,845.7361740883183,0.6024207746148318,0.6030044763251329,0.6034017858687677
4,0.8049715731039256,0.0023782356873258918,0.8025933374165998,0.001340546382552257,503.21258087372837,6.342201245284763e-4,845.735964236209,0.8025933374165998,0.8036310267213734,0.8043373529793971
5,1.0061647079748839,0.003715983682899112,1.0024487242919848,0.0020945994168974228,503.21224154986294,9.909682940650612e-4,845.7356944266692,1.0024487242919848,1.0040701085579864,1.005173739680819
6,1.2073379394838326,0.005350999645227523,1.2019869398386052,0.0030162155820876654,503.2118268225886,0.0014269931985565567,845.7353646599347,1.2019869398386052,1.204321723901745,1.205910946285276
7,1.4084912676307724,0.0072832779550800085,1.4012079896756924,0.0041053923520956775,503.2113366930421,0.0019422944563732018,845.7349749362941,1.4012079896756924,1.4043858752786766,1.4065489731743992
8,1.6096246924157027,0.009512811971661187,1.6001118804440415,0.005362126741657376,503.2107711625668,0.0025368716164999813,845.7345252560892,1.6001118804440415,1.6042625656740452,1.6070878207992028
9,1.8107382138386237,0.012039594032668471,1.7986986198059551,0.006786415306292349,503.2101302327127,0.0032107241585376083,845.7340156197127,1.7986986198059551,1.8039517985323312,1.8075274896800861
10,2.0118318318995354,0.014863615454357892,1.9969682164451774,0.008378254142327464,503.2094139052365,0.00396385149270367,845.7334460276113,1.9969682164451774,2.003453577757208,2.007867980406832
11,2.212905546598438,0.017984866531618706,2.1949206800668195,0.010137638886923612,503.2086221821014,0.004796252959833915,845.7328164802831,2.1949206800668195,2.2027679077115145,2.2081092936386044
12,2.413959357935331,0.02140333653805679,2.392556021397274,0.012064564718105596,503.2077550654774,0.0057079278313836865,845.7321269782794,2.392556021397274,2.401894793217225,2.408251430103947
13,2.614993265910215,0.02511901372608675,2.5898742521841283,0.014159026354795172,503.2068125577409,0.006698875309429534,845.7313775222036,2.5898742521841283,2.60083423955542,2.6082943906007854
14,2.8160072705230896,0.029131885327032914,2.7868753851960566,0.016421018056847248,503.2057946614749,0.007769094526670945,845.7305681127116,2.7868753851960566,2.7995862524662423,2.8082381759964186
15,3.0170013717739543,0.03344193755123894,2.983559434222715,0.018850533625089188,503.2047013794692,0.008918584546432252,845.7296987505118,2.983559434222715,2.9981508381488653,3.008082787227522
16,3.2179755696628103,0.03804915558818634,3.179926414074624,0.021447566401363277,503.2035327147199,0.010147344362664672,845.7287694363652,3.179926414074624,3.196528003261447,3.2078282253001458
17,3.4189298641896575,0.042953523606621656,3.3759763405830356,0.024212109268572375,503.20228867042965,0.011455372899948512,845.7277801710848,3.3759763405830356,3.394717754921085,3.407474491289709
18,3.619864255354494,0.04815502475469248,3.5717092305998017,0.02714415465072863,503.2009692500077,0.012842669013495532,845.7267309555367,3.5717092305998017,3.5927201007037657,3.6070215863409985
19,3.820778743157322,0.05365364116009217,3.76712510199723,0.030243694513005404,503.1995744570696,0.014309231489151435,845.7256217906391,3.76712510199723,3.790535048644317,3.806469511668171
20,4.021673327598141,0.059449353930213375,3.962223973667928,0.033510720361792305,503.19810429543776,0.01585505904339853,845.7244526773628,3.962223973667928,3.988162607236349,4.0058182685547425
21,4.222548008676951,0.06554214315231029,4.157005865524641,0.036945223244753356,503.1965587691403,0.017480150323358538,845.7232236167309,4.157005865524641,4.185602785432198,4.205067858353593
22,4.423402786393751,0.07193198789366965,4.351470798500082,0.04054719375088836,503.1949378824126,0.01918450390679556,845.7219346098191,4.351470798500082,4.382855592642863,4.404218282486956
23,4.624237660748541,0.07861886620179055,4.54561879454675,0.04431662201059727,503.1932416396957,0.020968118302119167,845.7205856577555,4.54561879454675,4.579921038737944,4.603269542446422
24,4.825052631741323,0.08560275510457292,4.739449876636749,0.04825349769574792,503.1914700456374,0.022830991948387704,845.7191767617203,4.739449876636749,4.776799134045575,4.802221639792935
25,5.025847699372095,0.09288363061051473,4.9329640687615806,0.0523578100197466,503.1896231050916,0.024773123215311655,845.7177079229469,4.9329640687615806,4.973489889352349,5.001074576156784
26,5.226622863640858,0.10046146770891809,5.12616139593194,0.05662954773761212,503.1877008231186,0.026794510403257244,845.7161791427209,5.12616139593194,5.1699933159032465,5.199828353237601
27,5.427378124547612,0.10833624037010395,5.3190418841775085,0.06106869914605262,503.1857032049848,0.028895151743250146,845.7145904223798,5.3190418841775085,5.3663094254015595,5.398482972804362
28,5.628113482092357,0.11650792154563551,5.511605560546721,0.06567525208354584,503.18363025616287,0.031075045396979348,845.712941763314,5.511605560546721,5.562438230008811,5.597038436695378
29,5.828828936275091,0.12497648316855052,5.70385245310654,0.0704491939304224,503.1814819823318,0.03333418945680119,845.7112331669662,5.70385245310654,5.758379742344668,5.79549474681829
30,6.029524487095817,0.13374189615360216,5.895782590942215,0.0753905116089521,503.1792583893765,0.0356725819457435,845.7094646348315,5.895782590942215,5.954133975486865,5.993851905150074
