Edad,Biomasa
0.5,191.4876276
1.5,600.4674477
2.5,1004.022408
3.5,727.635858
4.5,1510.570317
5.5,2390.341296
6.5,1450.444285
7.5,2656.167593
8.5,1700.121832
9.5,2380.27918
10.5,4423.817151
11.5,2659.185798
12.5,3289.651023
13.5,1923.078008
14.5,1924.742512
15.5,1741.927701
16.5,1418.145757
17.5,1006.569802
18.5,2645.68986
19.5,1152.676113
20.5,883.347285
21.5,481.5582621
22.5,407.9579332
23.5,328.9332211
24.5,148.1943892
25.5,239.3775618
26.5,56.08835185
