"beta","alpha","gamma","W","c","v","r","k","sigma","spec","transformation","ss_monop1","ss_monop2","ss_monop3","ss_cournot1","ss_cournot2","ss_cournot3","ss_bertrand1","ss_bertrand2","ss_bertrand3","harvest_monop1","harvest_monop2","harvest_monop3","price_monop1","price_monop2","price_monop3","price_poachers_monop1","price_poachers_monop2","price_poachers_monop3","profit_monop1","profit_monop2","profit_monop3","harvest_cournot1","price_poachers_cournot1","farmed_cournot1","p_farmed_cournot1","p_wild_cournot1","profit_farmed_cournot1","profit_trader_cournot1","harvest_cournot2","price_poachers_cournot2","farmed_cournot2","p_farmed_cournot2","p_wild_cournot2","profit_farmed_cournot2","profit_trader_cournot2","harvest_cournot3","price_poachers_cournot3","farmed_cournot3","p_farmed_cournot3","p_wild_cournot3","profit_farmed_cournot3","profit_trader_cournot3","e","a_f","a_w","b_f","b_w","harvest_bertrand1","price_poachers_bertrand1","farmed_bertrand1","p_farmed_bertrand1","p_wild_bertrand1","profit_farmed_bertrand1","profit_trader_bertrand1","harvest_bertrand2","price_poachers_bertrand2","farmed_bertrand2","p_farmed_bertrand2","p_wild_bertrand2","profit_farmed_bertrand2","profit_trader_bertrand2","harvest_bertrand3","price_poachers_bertrand3","farmed_bertrand3","p_farmed_bertrand3","p_wild_bertrand3","profit_farmed_bertrand3","profit_trader_bertrand3"
1527.15980534519,1587792.39661445,1374.44382481067,2.32430359258355,871.076651074496,50818.5,0.2012827,20226,0.0000200307674145246,"baseline","1",17235,NA,NA,18229,NA,NA,17189,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,362.362157990842,12634.1148413699,340.150213023723,600811.303706525,566890.114154202,176695699.475273,200525754.77531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0031017330921648,547.212024451858,547.212024451858,0.00344637010240533,0.00344637010240533,519.564990689535,20373.5321670332,452.788131612287,182199.668637771,172001.775126774,59487833.8765352,78328145.7095427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,1374.44382481067,2.32430359258355,871.076651074496,2540.925,0.2012827,20226,0.0000200307674145246,"v","0.05",17235,NA,NA,18283,NA,NA,17494,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,353.598522713948,12255.8432033775,359.900176052506,543504.739286766,553128.370972631,197810164.064049,190943715.378776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0031017330921648,547.212024451858,547.212024451858,0.00344637010240533,0.00344637010240533,475.665244819232,18007.3932356731,512.554875806937,151264.03382955,156897.669997394,76228754.5757517,65650936.6103853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,1374.44382481067,2.32430359258355,871.076651074496,5081.85,0.2012827,20226,0.0000200307674145246,"v","0.1",17235,NA,NA,18280,NA,NA,17478,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,354.059723720838,12275.856867725,358.860723643922,546520.818168887,553852.712276886,196669195.868855,191442138.641349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0031017330921648,547.212024451858,547.212024451858,0.00344637010240533,0.00344637010240533,477.980562319485,18128.189757757,509.405623990807,152891.170779355,157690.279885848,75294899.2832645,66291608.6104038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,1374.44382481067,2.32430359258355,871.076651074496,25409.25,0.2012827,20226,0.0000200307674145246,"v","0.5",17235,NA,NA,18257,NA,NA,17351,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,357.749701025604,12435.066756879,350.544938212912,570649.931363102,559647.107188514,187660075.071191,195453316.450536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0031017330921648,547.212024451858,547.212024451858,0.00344637010240533,0.00344637010240533,496.487427936884,19106.7538601253,484.223464038379,165911.706106042,164038.802834042,68034586.0015678,71524461.6146543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,1374.44382481067,2.32430359258355,871.076651074496,30491.1,0.2012827,20226,0.0000200307674145246,"v","0.6",17235,NA,NA,18252,NA,NA,17319,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,358.672562017697,12473.9760970703,348.465826855504,576682.688425256,561095.372741752,185440621.318829,196463010.61812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0031017330921648,547.212024451858,547.212024451858,0.00344637010240533,0.00344637010240533,501.108334926071,19355.913593129,477.932317725605,169168.114808143,165628.766616489,66278227.1025238,72862042.0532088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,1374.44382481067,2.32430359258355,871.076651074496,35572.95,0.2012827,20226,0.0000200307674145246,"v","0.7",17235,NA,NA,18246,NA,NA,17287,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,359.594851330175,12514.2779458394,346.386972753923,582714.699032969,562544.157757437,183234642.656701,197474678.179165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0031017330921648,547.212024451858,547.212024451858,0.00344637010240533,0.00344637010240533,505.727140937448,19606.7075188586,471.642760387645,172424.984567753,167219.754971178,64545271.3482006,74211397.3488402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,1374.44382481067,2.32430359258355,871.076651074496,40654.8,0.2012827,20226,0.0000200307674145246,"v","0.8",17235,NA,NA,18240,NA,NA,17254,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,360.51712026823,12554.6294230336,344.308127820831,588746.683037358,563992.961286547,181041873.289029,198488921.363172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0031017330921648,547.212024451858,547.212024451858,0.00344637010240533,0.00344637010240533,510.341011415664,19861.340424873,465.356935805858,175682.937425249,168813.150210059,62836280.2797863,75571671.1188355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,1374.44382481067,2.32430359258355,871.076651074496,60982.2,0.2012827,20226,0.0000200307674145246,"v","1.2",17235,NA,NA,18218,NA,NA,17123,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,364.207121696202,12713.7805524006,335.992331534379,612875.827729765,569787.334278379,172402363.700559,202572903.255749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0031017330921648,547.212024451858,547.212024451858,0.00344637010240533,0.00344637010240533,528.777151603626,20894.9165229823,440.228265674012,188718.993377694,175196.163437714,56233347.0114219,81130368.4020758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,1374.44382481067,2.32430359258355,871.076651074496,76227.75,0.2012827,20226,0.0000200307674145246,"v","1.5",17235,NA,NA,18200,NA,NA,17024,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,366.973571838028,12835.7037735612,329.755957237658,630971.314028141,574134.068959627,166061816.838643,205662003.829187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0031017330921648,547.212024451858,547.212024451858,0.00344637010240533,0.00344637010240533,542.578205614958,21690.3618122735,421.401465610149,198501.752236742,179996.127568931,51526443.7485816,85420631.1164559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,0.137444382481067,2.32430359258355,871.076651074496,50818.5,0.2012827,20226,0.0000200307674145246,"gamma","0.0001",17235,NA,NA,17236,NA,NA,17236,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,512.993423028018,20006.2872012294,503.190099415566,819271.541686863,804300.299907135,386677284.438349,401890813.645428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000000589329292284882,1039.60928162318,1039.60928162318,0.000654810324760981,0.000654810324760981,512.993425079357,20006.2872812298,503.190101453393,819270.191162732,804300.296774132,386677284.438207,401890813.604244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
