sphere,capacity_persphere_kg,capacity_per_sphere_t,maintenance_year,cleaning_year,vessel_maintenance_year,fuel_year,feed,labor,facility_lease,admin,op_costs,op_cost_per_t
1,144000,144,12500,5000,10000,25122.5,3200000,1580000,150000,5000,4987622.5,34636.26736
2,288000,288,12500,5000,10000,25122.5,3200000,0,0,0,3252622.5,11293.82813
