x,growth,qty_monop,differ
1,0.20127274831899536,1.3697067866628825e-4,0.20113577764032908
2,0.4025255932759814,5.478822813586531e-4,0.40197771099462276
3,0.6037585348709582,0.0012327335081610228,0.6025258013627972
4,0.8049715731039256,0.002191522192558033,0.8027800509113676
5,1.0061647079748839,0.0034242453014521617,1.0027404626734318
6,1.2073379394838326,0.0049308989351877185,1.202407040548645
7,1.4084912676307724,0.006711478327581681,1.4017797893031907
8,1.6096246924157027,0.008765977845961394,1.6008587145697413
9,1.8107382138386237,0.01109439099120911,1.7996438228474145
10,2.0118318318995354,0.013696710397813385,1.998135121501722
11,2.212905546598438,0.01657292783392733,2.1963326187645107
12,2.413959357935331,0.01972303420143371,2.3942363237338973
13,2.614993265910215,0.023147019536016868,2.591846246374198
14,2.8160072705230896,0.02684487300724156,2.789162397515848
15,3.0170013717739543,0.030816582918638553,2.986184788855316
16,3.2179755696628103,0.035062136707797134,3.1829134329550133
17,3.4189298641896575,0.03958152094646442,3.379348343243193
18,3.619864255354494,0.04437472134065156,3.5754895340138426
19,3.820778743157322,0.04944172273074673,3.7713370204265755
20,4.021673327598141,0.05478250909163495,3.9668908185065064
21,4.222548008676951,0.060397063532824834,4.162150945144126
22,4.423402786393751,0.0662853682985821,4.357117418095169
23,4.624237660748541,0.07244740476806988,4.551790255980471
24,4.825052631741323,0.07888315345549596,4.746169478285827
25,5.025847699372095,0.0855925940102668,4.940255105361828
26,5.226622863640858,0.09257570521714832,5.1340471584237095
27,5.427378124547612,0.09983246499643367,5.327545659551179
28,5.628113482092357,0.10736285040411761,5.520750631688239
29,5.828828936275091,0.11516683763207793,5.713662098643013
30,6.029524487095817,0.12324440200826345,5.906280085087554
31,6.230200134554534,0.13159551799688918,6.098604616557645
32,6.430855878651241,0.14022015919863778,6.290635719452603
33,6.63149171938594,0.1491182983508684,6.482373421035072
34,6.832107656758628,0.15828990732783188,6.673817749430796
35,7.032703690769307,0.16773495714089295,6.864968733628414
36,7.233279821417977,0.17745341793875924,7.055826403479218
37,7.433836048704638,0.18744525900771708,7.246390789696921
38,7.634372372629289,0.197710448771874,7.436661923857415
39,7.834888793191932,0.20824895479340788,7.626639838398524
40,8.035385310392565,0.21906074377282353,7.816324566619741
41,8.235861924231187,0.23014578154921525,8.005716142681973
42,8.436318634707803,0.24150403310053659,8.194814601607266
43,8.636755441822407,0.25313546254387687,8.38361997927853
44,8.837172345575004,0.2650400331357445,8.57213231243926
45,9.037569345965588,0.27721770727235656,8.760351638693232
46,9.237946442994165,0.28966844648993606,8.94827799650423
47,9.438303636660732,0.30239221146501527,9.135911425195717
48,9.638640926965293,0.315388962014746,9.323251964950547
49,9.838958313907842,0.32865865709721626,9.510299656810625
50,10.039255797488382,0.3422012548117746,9.697054542676607
51,10.239533377706913,0.35601671239936034,9.883516665307551
52,10.439791054563434,0.3701049862428406,10.069686068320594
53,10.640028828057945,0.38446603186735456,10.25556279619059
54,10.84024669819045,0.39909980394066397,10.441146894249785
55,11.040444664960942,0.41400625627351073,10.62643840868743
56,11.240622728369427,0.4291853418199804,10.811437386549446
57,11.440780888415903,0.4446370126778741,10.996143875738028
58,11.640919145100366,0.4603612200890848,11.18055792501128
59,11.841037498422821,0.4763579144399824,11.36467958398284
60,12.041135948383268,0.4926270452618043,11.548508903121464
61,12.241214494981707,0.5091685612310531,11.732045933750653
62,12.441273138218135,0.5259824101699009,11.915290728048234
63,12.641311878092553,0.5430685390465995,12.098243339045954
64,12.841330714604965,0.5604268939758993,12.280903820629065
65,13.041329647755365,0.5780574202194729,12.463272227535892
66,13.241308677543756,0.5959600621863457,12.64534861535741
67,13.441267803970138,0.614134763433334,12.827133040536804
68,13.641207027034511,0.6325814666654885,13.008625560369023
69,13.841126346736875,0.6513001137365464,13.189826233000328
70,14.04102576307723,0.6702906456493879,13.370735117427841
71,14.240905276055571,0.6895530025565002,13.55135227349907
72,14.440764885671907,0.7090871237604487,13.731677761911458
73,14.640604591926234,0.7288929477143544,13.911711644211879
74,14.84042439481855,0.748970412022377,14.091453982796173
75,15.040224294348858,0.7693194534402068,14.270904840908651
76,15.240004290517158,0.7899400078755601,14.450064282641598
77,15.439764383323446,0.8108320103886844,14.628932372934761
78,15.639504572767725,0.8319953951928676,14.807509177574858
79,15.839224858849997,0.8534300956549556,14.985794763195042
80,16.038925241570258,0.8751360442958752,15.163789197274383
81,16.238605720928508,0.897113172791164,15.341492548137344
82,16.438266296924752,0.9193614119715074,15.518904884953244
83,16.637906969558983,0.9418806918232806,15.696026277735703
84,16.83752773883121,0.9646709414890992,15.87285679734211
85,17.037128604741426,0.9877320892683747,16.049396515473052
86,17.23670956728963,1.011064062617877,16.225645504671753
87,17.436270626475824,1.0346667881523044,16.40160383832352
88,17.635811782300014,1.0585401916448567,16.577271590655158
89,17.83533303476219,1.0826841980278203,16.75264883673437
90,18.034834383862353,1.1070987313931553,16.9277356524692
91,18.234315829600515,1.1317837149930894,17.102532114607424
92,18.433777371976664,1.1567390712407213,17.277038300735942
93,18.633219010990803,1.181964721710628,17.451254289280175
94,18.832640746642934,1.207460587139478,17.625180159503454
95,19.032042578933055,1.2332265874266533,17.7988159915064
96,19.231424507861167,1.2592626416348762,17.97216186622629
97,19.430786533427273,1.285568667990843,18.14521786543643
98,19.630128655631367,1.3121445838858639,18.317984071745503
99,19.82945087447345,1.3389903058765096,18.49046056859694
100,20.028753189953523,1.3661057496852629,18.66264744026826
101,20.228035602071593,1.3934908302011806,18.834544771870412
102,20.42729811082765,1.4211454614805563,19.006152649347094
